id_contribuinte,cnpj,razao_social,cnae,desc_cnae,porte,regime_tributario,bairro,data_abertura,ativo,risco_latente,email,telefone
38,34.670.656/2729-00,da Luz S/A,9602-5,Cabeleireiros e similares,EPP,Simples Nacional,Parque Bitaru,2022-02-02,1,1,da-cunhaolivia@pinto.edu.br,(031) 4098-1161
39,62.720.465/3755-00,Fonseca,7711-0,Locação de automóveis,EPP,Simples Nacional,Vila Margarida,2020-09-12,1,0,eduardo20@duarte.edu.br,+55 11 3800-4716
40,64.170.805/3100-00,Cirino,7711-0,Locação de automóveis,ME,Lucro Presumido,Glória,2017-02-06,1,0,bmendonca@guerra.gov.br,+55 11 6001 0269
41,23.271.937/4529-00,Castro Aparecida Ltda.,4120-4,Construção de edifícios,MD,Lucro Presumido,Alto da Boa Vista,2016-08-26,1,1,eduarda60@guerra.gov.br,(051) 3700-0033
42,19.049.663/1931-00,Oliveira S.A.,8599-6,Treinamento e capacitação,MEI,MEI,Cidade Nautica,2021-10-07,1,0,lais77@viana.com,(021) 0133-1939
43,90.586.518/5067-00,Casa Grande,8650-0,Atividades de saúde humana,MEI,MEI,Glória,2016-04-13,1,0,yancampos@marques.com.br,21 8594-9738
44,26.284.987/7694-00,Vargas,6920-6,Atividades contábeis,EPP,Lucro Presumido,Jardim Rio Branco,2021-01-22,1,1,ana-julia99@gomes.com.br,+55 (061) 8414 2500
45,73.799.650/7527-00,Viana,4330-4,Acabamentos em construção,MD,Lucro Presumido,Cidade Nautica,2021-10-12,1,0,upimenta@pires.gov.br,(021) 1082-1266
46,94.808.313/6783-00,Rezende - EI,8630-5,Atividades de atenção à saúde,MEI,MEI,Cidade Nautica,2019-03-16,1,1,theodorofarias@campos.org,+55 41 4030-9457
47,01.436.349/5788-00,Brito S/A,8512-1,Ensino fundamental,EPP,Lucro Presumido,Glória,2021-10-06,1,0,sousamanuella@rodrigues.br,0500 367 5842
48,74.443.135/1823-00,Nascimento,5310-5,Atividades dos correios,EPP,Lucro Presumido,Vila São Jorge,2017-01-26,1,0,maria-cecilia14@sampaio.com.br,+55 84 0348-6138
49,98.941.343/5240-00,Silva,8512-1,Ensino fundamental,ME,Lucro Presumido,Jardim Rio Branco,2016-10-18,1,0,gaelsa@barros.net,+55 11 8899 0483
50,08.427.109/4777-00,Novaes,5611-2,Restaurantes e similares,MEI,MEI,Centro,2021-04-23,1,0,henry-gabrielguerra@aragao.br,+55 41 7492 9833
51,71.167.190/2294-00,Porto,6202-3,Desenvolvimento de sistemas,MEI,MEI,Ilha Porchat,2021-12-24,1,1,bsa@teixeira.gov.br,(051) 9439 2116
52,69.993.867/7496-00,Pacheco e Filhos,4330-4,Acabamentos em construção,MEI,MEI,Esplanada dos Barreiros,2016-07-16,1,0,diegoda-paz@albuquerque.net,+55 (081) 6653-8007
53,13.341.232/8120-00,Sousa,4921-3,Transporte rodoviário coletivo,MD,Lucro Presumido,Alto da Boa Vista,2019-02-12,1,0,luna89@pires.gov.br,+55 81 5644 1405
54,03.447.134/9361-00,Garcia - EI,4921-3,Transporte rodoviário coletivo,ME,Lucro Presumido,Cidade Nautica,2016-08-04,1,1,tgoncalves@moura.com,(041) 7274-5926
55,21.024.994/7174-00,Novais,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,2018-01-04,1,0,pietra27@santos.com.br,31 7113 7155
56,19.065.940/1399-00,Porto,8630-5,Atividades de atenção à saúde,MEI,MEI,Parque Bitaru,2023-09-18,1,0,zviana@melo.org,41 2925-6731
57,27.874.296/7175-00,das Neves,8630-5,Atividades de atenção à saúde,MD,Lucro Presumido,Glória,2023-03-29,1,1,rodriguesraquel@dias.com,+55 (041) 4660 0808
58,25.674.680/7154-00,Carvalho S/A,6911-7,Atividades jurídicas,ME,Simples Nacional,Ilha Porchat,2021-10-29,1,2,fernandamoura@sales.org,31 4967 9082
59,87.603.859/7703-00,Lima - ME,7711-0,Locação de automóveis,EPP,Simples Nacional,Vila Nova,2018-02-22,1,0,gnascimento@souza.gov.br,(011) 4256-8720
60,71.093.248/0861-00,da Luz,5611-2,Restaurantes e similares,MD,Lucro Real,Parque Bitaru,2018-09-20,1,0,pvieira@peixoto.com,+55 (051) 8268 2324
61,27.484.677/3782-00,Monteiro,8599-6,Treinamento e capacitação,EPP,Lucro Presumido,Vila Margarida,2018-12-18,1,2,alice90@almeida.com.br,0500 509 7298
62,14.658.404/4997-00,Machado,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,2022-12-01,1,0,riosmaria-liz@cavalcanti.gov.br,+55 (011) 1065 1811
63,58.867.533/9636-00,das Neves e Filhos,8511-2,Educação infantil,MEI,MEI,Vila São Jorge,2023-08-17,0,0,montenegroapollo@camargo.com,84 6661-5470
64,27.028.951/7187-00,Mendes S.A.,8512-1,Ensino fundamental,EPP,Lucro Presumido,Vila Bocaina,2024-03-18,0,2,moreiralivia@viana.gov.br,51 9966 4898
65,21.745.961/5865-00,da Rocha,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,2018-12-18,1,0,bruno74@costa.com.br,+55 (041) 2838-4561
66,13.431.611/7240-00,Mendes - EI,8512-1,Ensino fundamental,ME,Simples Nacional,Alto da Boa Vista,2016-08-09,0,0,maysa13@goncalves.com.br,+55 31 2071-1756
67,56.238.692/2219-00,Borges Cavalcanti - EI,6202-3,Desenvolvimento de sistemas,MEI,MEI,Vila São Jorge,2021-04-07,1,0,carvalhoemilly@moraes.net,+55 84 9789-1121
68,92.374.740/7482-00,Vasconcelos,4921-3,Transporte rodoviário coletivo,MD,Lucro Presumido,Parque Bitaru,2024-11-06,1,0,yago32@nunes.com,+55 81 1213 6317
69,64.743.671/3695-00,Lima S/A,6920-6,Atividades contábeis,ME,Lucro Presumido,Vila Nova,2023-12-17,1,1,fcamargo@rios.com,+55 (041) 7855-6949
70,64.090.974/3953-00,Pastor,8650-0,Atividades de saúde humana,ME,Simples Nacional,Ilha Porchat,2018-03-17,1,2,xsantos@pimenta.br,31 5846-2119
71,21.047.095/2145-00,Pereira Ribeiro e Filhos,4921-3,Transporte rodoviário coletivo,GR,Lucro Real,Vila Nova,2020-09-19,1,0,isabela26@marques.com,(081) 7833-1938
72,85.884.247/4517-00,Macedo,5620-1,Serviços de alimentação,ME,Simples Nacional,Japuí,2017-10-13,1,0,ana-luizagarcia@caldeira.gov.br,+55 (031) 7025-1143
73,68.516.048/1754-00,Martins - EI,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,2020-08-23,1,0,qalmeida@fonseca.br,+55 (061) 7246 5072
74,37.098.593/1746-00,das Neves Viana - ME,6920-6,Atividades contábeis,ME,Simples Nacional,Vila Nova,2020-09-08,1,0,kamilly78@rezende.gov.br,84 8815 8423
75,71.138.267/5869-00,Freitas,6202-3,Desenvolvimento de sistemas,MEI,MEI,Cidade Nautica,2017-06-12,1,0,qalves@santos.com,+55 (051) 0137-0929
76,17.964.053/7735-00,Silveira,5611-2,Restaurantes e similares,MD,Lucro Real,Vila Nova,2017-12-11,1,0,vlima@marques.gov.br,51 4858 2387
77,64.317.139/0053-00,Gonçalves,6920-6,Atividades contábeis,MEI,MEI,Centro,2020-04-23,1,0,ana-sophia09@ferreira.org,+55 61 3729-5705
78,83.933.529/0422-00,Camargo,9311-5,Academias e fitness,GR,Lucro Real,Vila Margarida,2020-12-02,1,0,ryan96@vasconcelos.edu.br,61 2455-1366
79,02.053.950/2402-00,Campos Ltda.,5620-1,Serviços de alimentação,EPP,Simples Nacional,Vila Nova,2022-07-12,1,1,fernandesalexandre@cavalcante.com.br,41 8277-2322
80,17.758.917/8390-00,Machado - EI,4771-7,Comércio farmacêutico,MEI,MEI,Jardim Rio Branco,2019-04-22,1,1,cecilia57@nogueira.org,+55 (084) 5058 4818
81,00.766.177/1159-00,Melo - EI,4771-7,Comércio farmacêutico,ME,Lucro Presumido,Parque Bitaru,2018-12-22,1,1,arthur-miguelmoraes@da.gov.br,0900 866 5832
82,98.569.847/8961-00,Garcia - EI,5611-2,Restaurantes e similares,ME,Lucro Presumido,Alto da Boa Vista,2021-10-01,1,0,fdas-neves@vieira.com.br,81 9581-6373
83,73.657.661/5654-00,Porto Ltda.,8599-6,Treinamento e capacitação,MEI,MEI,Vila Bocaina,2025-08-04,1,1,daraujo@brito.br,+55 81 7358 4636
84,11.161.528/0988-00,Sampaio,5611-2,Restaurantes e similares,MEI,MEI,Vila Margarida,2018-08-11,1,0,esthercarvalho@moraes.gov.br,+55 71 8238-0842
85,60.494.519/8327-00,Correia,8599-6,Treinamento e capacitação,MEI,MEI,Vila São Jorge,2024-09-11,1,0,hnascimento@jesus.br,81 9854-2199
86,85.149.368/9980-00,Correia Fogaça Ltda.,8599-6,Treinamento e capacitação,EPP,Lucro Presumido,Ilha Porchat,2023-06-06,1,0,anna-liz32@da.com,(011) 5748-9531
87,44.550.229/6120-00,Aparecida Cassiano - EI,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Japuí,2022-12-27,1,0,vinicius65@lopes.org,+55 (061) 3143-0465
88,67.525.459/9102-00,Moura,4771-7,Comércio farmacêutico,ME,Simples Nacional,Vila Bocaina,2018-01-10,1,0,sophiacavalcante@dias.br,(041) 4443-0474
89,14.767.976/4381-00,Lopes,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Vila Nova,2021-05-05,1,0,gabrielasales@cunha.br,11 2949-0779
90,97.840.369/0034-00,Montenegro,8599-6,Treinamento e capacitação,MD,Lucro Real,Vila Nova,2025-07-23,1,0,henry78@novais.com.br,0300 226 6124
91,51.076.226/8388-00,da Cunha e Filhos,5611-2,Restaurantes e similares,MEI,MEI,Cidade Nautica,2020-12-13,1,0,fsantos@azevedo.com,0300 097 9670
92,06.071.596/9664-00,Fogaça,6920-6,Atividades contábeis,MD,Lucro Presumido,Vila Bocaina,2022-06-08,1,2,luana74@goncalves.com.br,(041) 4645 2358
93,97.516.136/9681-00,Vieira Câmara - EI,6201-5,Desenvolvimento de software,MEI,MEI,Japuí,2016-11-24,1,1,zmoreira@pereira.com.br,+55 81 9445-1911
94,52.181.883/5523-00,Cunha,8650-0,Atividades de saúde humana,EPP,Lucro Presumido,Catiapoa,2017-01-15,1,0,barbosarhavi@da.com,0800 768 6539
95,92.127.799/7995-00,Fernandes,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Japuí,2026-01-24,1,0,nmartins@da.com,(031) 2313 3749
96,17.744.905/8147-00,Cassiano Santos e Filhos,6911-7,Atividades jurídicas,MEI,MEI,Parque Bitaru,2018-01-13,1,2,yuri32@brito.gov.br,+55 (081) 2387 9544
97,41.199.867/9807-00,Souza,6202-3,Desenvolvimento de sistemas,MD,Lucro Real,Ilha Porchat,2018-05-02,1,1,gustavo-henriquepimenta@rios.br,0900-223-2472
98,97.820.715/1820-00,Cirino,9311-5,Academias e fitness,MEI,MEI,Vila São Jorge,2024-03-05,1,0,ceciliaazevedo@aparecida.net,+55 (071) 0595 5997
99,89.255.466/5905-00,Farias S/A,8511-2,Educação infantil,EPP,Lucro Presumido,Esplanada dos Barreiros,2021-09-29,1,2,bianca98@abreu.com,(051) 2878 3200
100,49.251.925/4629-00,Guerra - ME,8599-6,Treinamento e capacitação,MD,Lucro Real,Cidade Nautica,2018-09-12,1,1,cavalcanteantonella@guerra.com.br,31 8905-6438
101,65.281.685/0542-00,Sá,7490-1,Consultoria empresarial,ME,Lucro Presumido,Esplanada dos Barreiros,2022-08-12,1,0,pastormelissa@azevedo.com,(071) 9336 8966
102,32.214.188/8059-00,Pereira Leão S/A,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,2025-03-28,1,2,franciscoviana@ribeiro.br,(031) 5021 6785
103,29.270.653/7947-00,Mendes - EI,7711-0,Locação de automóveis,ME,Simples Nacional,Japuí,2019-12-26,1,0,ana-carolinaaragao@nunes.br,(081) 7206-0554
104,73.597.746/8862-00,da Mata,4330-4,Acabamentos em construção,MEI,MEI,Glória,2017-03-24,1,1,rezendealicia@montenegro.com.br,61 9968-2633
105,40.758.181/4124-00,Azevedo - ME,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,2016-07-08,1,0,caio23@farias.com,+55 (011) 8056-5851
106,61.375.060/6853-00,Sales Fogaça - EI,4771-7,Comércio farmacêutico,ME,Simples Nacional,Ilha Porchat,2020-08-01,1,1,oferreira@sa.br,(031) 6958 2085
107,05.152.204/7277-00,Dias - ME,7490-1,Consultoria empresarial,EPP,Lucro Presumido,Catiapoa,2019-01-14,1,0,costelaluiz-otavio@mendonca.gov.br,(031) 8856 2335
108,32.898.614/3410-00,Macedo,7490-1,Consultoria empresarial,EPP,Simples Nacional,Cidade Nautica,2020-11-22,1,0,vasconcelosbarbara@caldeira.net,(051) 5615 8711
109,17.980.893/2460-00,Souza S.A.,4921-3,Transporte rodoviário coletivo,MEI,MEI,Vila Margarida,2017-10-15,1,1,caue22@nogueira.net,+55 (031) 2132 9149
110,18.518.888/8067-00,da Mota Casa Grande e Filhos,4330-4,Acabamentos em construção,ME,Lucro Presumido,Japuí,2020-02-11,0,1,hellena69@rios.gov.br,+55 11 1938 9117
111,05.153.195/2058-00,Barros Gonçalves S.A.,7711-0,Locação de automóveis,EPP,Lucro Presumido,Cidade Nautica,2020-11-09,1,0,juliaoliveira@andrade.com.br,11 0086 7220
112,72.217.043/0305-00,Fogaça,5620-1,Serviços de alimentação,MEI,MEI,Jardim Rio Branco,2018-05-05,1,0,cunhahenry@sa.br,+55 (061) 0158-1395
113,87.403.450/5415-00,Pereira - EI,4771-7,Comércio farmacêutico,MEI,MEI,Ilha Porchat,2021-08-31,1,0,igor18@cavalcanti.com,+55 81 0991-2838
114,65.277.584/1616-00,da Mota,7711-0,Locação de automóveis,GR,Lucro Real,Porto Grande,2016-06-13,1,0,zgoncalves@marques.org,84 9640-2680
115,11.544.796/2757-00,Camargo S.A.,5620-1,Serviços de alimentação,MD,Lucro Real,Vila São Jorge,2026-03-10,0,1,qpimenta@da.net,+55 71 3923 1705
116,01.658.202/9702-00,Pimenta S.A.,6920-6,Atividades contábeis,EPP,Lucro Presumido,Cidade Nautica,2025-08-14,1,0,luiz-gustavogomes@montenegro.edu.br,0300 809 3991
117,90.927.557/1928-00,Lima,6920-6,Atividades contábeis,ME,Lucro Presumido,Vila Bocaina,2019-01-08,1,0,ferreiranatalia@garcia.edu.br,(021) 3421 5457
118,10.278.681/4473-00,Aparecida - ME,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,2016-10-17,1,1,psilva@mendonca.edu.br,(071) 1973-5243
119,12.172.715/5188-00,da Cunha Fernandes - ME,8650-0,Atividades de saúde humana,MEI,MEI,Catiapoa,2017-09-26,1,0,gcunha@sales.com.br,11 9513-5848
120,25.831.323/7058-00,Araújo S.A.,8650-0,Atividades de saúde humana,ME,Simples Nacional,Jardim Rio Branco,2025-06-27,1,0,milenafreitas@da.br,0500 529 2351
121,11.467.866/9125-00,Brito e Filhos,8511-2,Educação infantil,MD,Lucro Presumido,Alto da Boa Vista,2016-04-28,1,2,calebe28@fonseca.edu.br,61 7884-0739
122,85.289.226/8018-00,Rodrigues,8511-2,Educação infantil,MD,Lucro Real,Vila Nova,2019-11-25,1,0,pda-cruz@aragao.org,+55 (081) 2287-9992
123,35.841.438/4249-00,da Paz - EI,5620-1,Serviços de alimentação,MEI,MEI,Vila São Jorge,2020-08-16,1,2,vieiraandre@vargas.gov.br,+55 (071) 6311-6974
124,92.299.590/0109-00,Nunes Viana - EI,4771-7,Comércio farmacêutico,ME,Simples Nacional,Alto da Boa Vista,2026-02-14,1,2,pastorclara@dias.gov.br,+55 (061) 0174 8233
125,07.844.736/4710-00,Novaes,4120-4,Construção de edifícios,GR,Lucro Real,Alto da Boa Vista,2016-06-16,1,2,julia06@souza.gov.br,+55 41 4452-0626
126,35.925.556/2588-00,Pimenta,9602-5,Cabeleireiros e similares,MEI,MEI,Parque Bitaru,2021-04-25,1,0,sofia53@melo.com.br,(081) 2723 9630
127,47.321.046/9632-00,Costa Mendes - EI,4330-4,Acabamentos em construção,MD,Lucro Real,Vila Margarida,2017-07-02,1,0,meloclarice@correia.gov.br,+55 21 9247-8676
128,27.877.470/1687-00,Pastor - ME,9311-5,Academias e fitness,MEI,MEI,Catiapoa,2020-01-13,1,0,isabelcamargo@sousa.com.br,+55 21 6258 3473
129,04.797.480/1624-00,Pires,4120-4,Construção de edifícios,MD,Lucro Real,Centro,2023-03-08,1,1,luiz-felipe42@peixoto.br,+55 (011) 2575-7055
130,60.983.584/1687-00,Cunha Pacheco S/A,7711-0,Locação de automóveis,ME,Lucro Presumido,Centro,2024-07-15,1,0,qlima@pastor.com,+55 41 5238 4219
131,16.558.523/9868-00,da Luz,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Japuí,2019-05-18,0,2,ealves@abreu.gov.br,(061) 3266-6231
132,57.872.982/5952-00,Melo,6202-3,Desenvolvimento de sistemas,MEI,MEI,Jardim Rio Branco,2025-04-23,1,0,ocavalcanti@ferreira.com,+55 (031) 9043 7598
133,58.887.947/0551-00,Leão,4921-3,Transporte rodoviário coletivo,MD,Lucro Real,Alto da Boa Vista,2021-08-11,1,1,pnovaes@da.br,41 6843 0877
134,09.749.930/9728-00,Câmara,9311-5,Academias e fitness,EPP,Lucro Presumido,Glória,2024-05-13,1,1,asa@martins.com,0500 129 0428
135,30.913.075/6263-00,Cirino S/A,4921-3,Transporte rodoviário coletivo,ME,Lucro Presumido,Japuí,2020-09-04,1,0,oliviabarbosa@cirino.br,+55 (061) 8916-7478
136,02.838.578/6527-00,Albuquerque,4921-3,Transporte rodoviário coletivo,EPP,Lucro Presumido,Ilha Porchat,2020-01-08,1,1,ccaldeira@da.com.br,31 2236 2698
137,49.733.484/3443-00,Freitas,6911-7,Atividades jurídicas,MD,Lucro Real,Vila Nova,2022-01-25,1,2,maria-claraleao@oliveira.com,0300 680 1006
138,58.441.986/6524-00,Campos,8512-1,Ensino fundamental,ME,Lucro Presumido,Parque Bitaru,2025-09-04,0,0,giovannaandrade@nogueira.com.br,(081) 4045-6644
139,74.733.848/4219-00,Machado Martins S/A,7490-1,Consultoria empresarial,EPP,Lucro Presumido,Porto Grande,2022-06-27,1,1,mirellateixeira@rezende.br,(061) 9771-1837
140,83.301.657/1208-00,Alves Moura - EI,4330-4,Acabamentos em construção,EPP,Simples Nacional,Centro,2020-03-10,1,1,prodrigues@da.gov.br,(031) 6178-4640
141,77.345.401/9380-00,Sá e Filhos,5620-1,Serviços de alimentação,MD,Lucro Real,Vila Nova,2016-12-18,1,0,arthur-gabrieljesus@sa.net,21 5326 2812
142,20.672.400/4991-00,Almeida,5620-1,Serviços de alimentação,ME,Lucro Presumido,Porto Grande,2022-03-03,1,0,cardosoevelyn@borges.com.br,81 3729-6441
143,88.728.743/1527-00,Mendonça,6911-7,Atividades jurídicas,ME,Lucro Presumido,Parque Bitaru,2020-07-12,1,0,luiz-gustavocostela@vasconcelos.org,(011) 3451 0857
144,54.932.966/8516-00,da Cunha Ferreira - EI,5620-1,Serviços de alimentação,ME,Simples Nacional,Jardim Rio Branco,2018-03-15,1,0,laisaraujo@ferreira.com.br,+55 21 7225-6439
145,53.046.374/5499-00,Martins Leão - ME,5620-1,Serviços de alimentação,MEI,MEI,Parque Bitaru,2023-12-23,0,0,davi-lucasmoraes@novais.br,21 4543-5144
146,17.426.841/4593-00,da Rocha,6920-6,Atividades contábeis,MEI,MEI,Centro,2017-01-27,1,0,ayllapinto@mendes.com,+55 51 3065 9876
147,79.568.783/3918-00,Pimenta,5611-2,Restaurantes e similares,EPP,Lucro Presumido,Japuí,2018-04-02,1,0,oliver34@araujo.com.br,(041) 9159 3951
148,91.088.398/2258-00,da Cunha - ME,6920-6,Atividades contábeis,MEI,MEI,Porto Grande,2025-09-07,1,0,zcavalcanti@nogueira.com,51 2307 0609
149,87.072.867/9087-00,Leão,4120-4,Construção de edifícios,EPP,Lucro Presumido,Vila Margarida,2023-06-28,1,0,rebeca76@farias.net,+55 84 9058-8670
150,40.391.065/1801-00,Macedo Lima Ltda.,8650-0,Atividades de saúde humana,ME,Simples Nacional,Vila Bocaina,2018-03-31,1,0,lorenzobarbosa@leao.com.br,+55 (061) 0126 0603
151,62.265.676/6182-00,Monteiro Aparecida S.A.,8512-1,Ensino fundamental,MEI,MEI,Cidade Nautica,2019-08-18,1,0,mirellaalbuquerque@abreu.com.br,+55 (031) 6465 9194
152,86.823.004/7868-00,Oliveira,6920-6,Atividades contábeis,ME,Simples Nacional,Japuí,2016-08-31,1,1,ana-liz55@sampaio.edu.br,71 2579 8330
153,52.431.069/0331-00,Vargas S.A.,4330-4,Acabamentos em construção,EPP,Simples Nacional,Parque Bitaru,2026-02-06,1,2,marquesrafael@silva.gov.br,(021) 1745-8462
154,03.067.383/0284-00,da Paz,6202-3,Desenvolvimento de sistemas,ME,Lucro Presumido,Alto da Boa Vista,2018-12-24,1,0,igorsouza@cavalcanti.gov.br,(084) 5782-3123
